Severity,Start_Time,Start_Lat,Start_Lng,Distance(mi),Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Temp_Binned,Hour,Weekday,Is_Weekend,Rush_Hour_SL,Time_Category_SL,Road_Type_SL,Weather_Category_SL
2,2016-02-08 08:36:34,39.737633,-84.14993299999998,0.0,2016-02-08 08:28:00,0.2928501469147894,36.4,1.0,0.9641434262948204,0.0350877192982455,SW,0.0341614906832298,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,0,0,1,Morning,Urban,Other
2,2016-02-08 08:37:07,39.79076,-84.241547,0.01,2016-02-08 08:56:00,0.3143976493633692,31.1,0.8804347826086956,0.9648678015211878,0.1228070175438595,NW,0.1428571428571428,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,8,0,0,1,Morning,Urban,Cloudy
2,2016-02-08 08:39:43,39.972038,-82.913521,0.01,2016-02-08 08:28:00,0.3281096963761019,33.8,1.0,0.963781238681637,0.0350877192982455,SSW,0.1055900621118012,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,8,0,0,1,Morning,Urban,Rain
2,2016-02-08 08:43:20,39.745888,-84.17041,0.01,2016-02-08 08:28:00,0.2928501469147894,36.4,1.0,0.9641434262948204,0.0350877192982455,SW,0.0341614906832298,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,0,0,1,Morning,Urban,Other
2,2016-02-08 08:53:17,39.748329,-84.224007,0.01,2016-02-08 08:58:00,0.3104799216454457,36.4,0.9891304347826086,0.9648678015211878,0.0852130325814535,WSW,0.0341614906832298,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,0,0,1,Morning,Urban,Cloudy
2,2016-02-08 09:24:37,39.752174,-84.239952,0.0,2016-02-08 08:56:00,0.3143976493633692,31.1,0.8804347826086956,0.9648678015211878,0.1228070175438595,NW,0.1428571428571428,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,9,0,0,1,Morning,Urban,Cloudy
2,2016-02-08 09:25:17,39.740669,-84.184135,0.01,2016-02-08 09:38:00,0.3281096963761019,32.1,0.923913043478261,0.9641434262948204,0.1228070175438595,WSW,0.1770186335403727,0.01,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,9,0,0,1,Morning,Urban,Other
2,2016-02-08 09:35:35,39.790703,-84.244461,0.01,2016-02-08 09:56:00,0.3143976493633692,30.3,0.8804347826086956,0.9648678015211878,0.1228070175438595,West,0.1770186335403727,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,9,0,0,1,Morning,Urban,Cloudy
2,2016-02-08 10:11:15,40.052509,-82.88233199999998,0.0,2016-02-08 10:14:00,0.2928501469147894,29.6,1.0,0.963781238681637,0.0225563909774435,NNW,0.1055900621118012,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,10,0,0,0,Morning,Urban,Other
2,2016-02-08 10:24:27,39.773346,-84.224686,0.0,2016-02-08 09:56:00,0.3143976493633692,30.3,0.8804347826086956,0.9648678015211878,0.1228070175438595,West,0.1770186335403727,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,10,0,0,0,Morning,Urban,Cloudy
2,2016-02-08 11:53:19,39.628288,-84.226151,0.01,2016-02-08 11:53:00,0.3055827619980411,28.6,0.8804347826086956,0.9648678015211878,0.0726817042606515,WSW,0.2142857142857143,0.02,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,11,0,0,0,Morning,Urban,Other
3,2016-02-08 12:00:00,40.023487,-82.994888,0.01,2016-02-08 11:51:00,0.3241919686581782,32.4,0.9565217391304348,0.9641434262948204,0.0977443609022555,West,0.1428571428571428,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,12,0,0,0,Morning,Urban,Other
2,2016-02-08 12:16:44,39.761379,-84.25921600000002,0.01,2016-02-08 12:20:00,0.3330068560235064,30.9,0.7391304347826086,0.963781238681637,0.1228070175438595,WNW,0.2857142857142857,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,12,0,0,0,Morning,Urban,Other
2,2016-02-08 12:41:08,40.158024,-82.641762,1.32,2016-02-08 12:51:00,0.3330068560235064,34.4,1.0,0.9630568634552698,0.0601503759398495,West,0.1055900621118012,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,12,0,0,0,Morning,Urban,Other
2,2016-02-08 12:52:05,39.733219,-84.159653,0.0,2016-02-08 12:53:00,0.3143976493633692,29.0,0.8478260869565217,0.9641434262948204,0.0852130325814535,West,0.248447204968944,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,12,0,0,0,Morning,Urban,Other
2,2016-02-08 14:24:48,39.775303,-84.200523,0.0,2016-02-08 13:56:00,0.3525954946131244,32.9,0.6739130434782608,0.9634190510684534,0.1228070175438595,WNW,0.3198757763975156,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,14,0,0,0,Afternoon,Urban,Cloudy
2,2016-02-08 14:56:57,39.789322,-84.23910500000002,0.01,2016-02-08 14:56:00,0.3525954946131244,34.5,0.6195652173913044,0.9634190510684534,0.1228070175438595,WNW,0.2142857142857143,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,14,0,0,0,Afternoon,Urban,Cloudy
2,2016-02-08 15:26:14,39.75872,-84.183762,0.0,2016-02-08 15:46:00,0.3457394711067582,35.9,0.7282608695652173,0.963781238681637,0.1228070175438595,NNE,0.1055900621118012,0.01,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,15,0,0,0,Afternoon,Urban,Cloudy
2,2016-02-08 16:16:08,40.081459,-83.122398,0.01,2016-02-08 15:53:00,0.3241919686581782,31.6,0.8804347826086956,0.9634190510684534,0.1228070175438595,West,0.1770186335403727,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,16,0,0,1,Afternoon,Urban,Other
2,2016-02-08 17:39:24,39.83321,-84.112946,0.0,2016-02-08 17:58:00,0.296767874632713,31.2,0.9673913043478262,0.9652299891343714,0.1228070175438595,NW,0.0714285714285714,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,17,0,0,1,Afternoon,Urban,Rain
3,2016-02-08 18:24:00,40.042725,-82.99730699999998,0.01,2016-02-08 18:43:00,0.2928501469147894,28.6,1.0,0.963781238681637,0.0726817042606515,South,0.1428571428571428,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,Very Cold,18,0,0,1,Afternoon,Urban,Other
3,2016-02-08 19:28:00,39.974415,-82.848854,0.01,2016-02-08 19:51:00,0.2948090107737512,36.4,1.0,0.9648678015211878,0.0726817042606515,Calm,0.2142857142857143,0.07,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,Very Cold,19,0,0,1,Evening,Urban,Other
2,2016-02-08 20:22:38,39.994766,-83.02449,0.01,2016-02-08 20:27:00,0.2859941234084231,26.1,0.9130434782608696,0.9641434262948204,0.0852130325814535,WNW,0.2142857142857143,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Very Cold,20,0,0,0,Evening,Urban,Other
2,2016-02-08 20:43:00,40.006477,-83.030991,1.09,2016-02-08 20:39:00,0.2859941234084231,25.5,0.9130434782608696,0.9641434262948204,0.1102756892230575,WNW,0.248447204968944,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,Very Cold,20,0,0,0,Evening,Urban,Other
2,2016-02-09 04:28:48,39.742062,-84.186996,0.01,2016-02-09 04:28:00,0.1870714985308521,11.7,0.923913043478261,0.9648678015211878,0.0601503759398495,SW,0.3198757763975156,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Very Cold,4,1,0,0,Night,Urban,Other
2,2016-02-09 05:04:34,39.843521,-82.78157,0.01,2016-02-09 04:55:00,0.1870714985308521,11.7,0.923913043478261,0.9641434262948204,0.0288220551378445,WSW,0.3198757763975156,0.01,Light Snow,False,False,False,False,True,False,False,False,False,False,False,True,False,Night,Night,Night,Night,Very Cold,5,1,0,0,Night,Urban,Other
2,2016-02-09 05:17:08,39.782578,-84.178688,0.01,2016-02-09 04:58:00,0.1851126346718903,11.5,0.8804347826086956,0.9663165519739224,0.0476190476190475,SW,0.3198757763975156,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Very Cold,5,1,0,0,Night,Urban,Other
3,2016-02-09 05:27:20,40.007626,-82.912155,0.01,2016-02-09 05:27:00,0.2223310479921646,18.2,0.8478260869565217,0.963781238681637,0.0162907268170425,West,0.2142857142857143,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Very Cold,5,1,0,0,Night,Urban,Other
2,2016-02-09 05:40:57,39.447502,-84.19120799999997,0.0,2016-02-09 05:45:00,0.1674828599412341,10.6,0.8369565217391304,0.9655921767475552,0.0075187969924811,SW,0.248447204968944,0.01,Light Snow,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Very Cold,5,1,0,0,Night,Urban,Other
2,2016-02-09 05:47:16,39.787731,-84.173439,0.01,2016-02-09 05:58:00,0.1870714985308521,12.4,0.8478260869565217,0.9670409272002898,0.0350877192982455,SW,0.2857142857142857,0.0,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,Very Cold,5,1,0,0,Night,Urban,Other
2,2016-02-09 05:56:10,39.426277,-83.624611,0.01,2016-02-09 05:54:00,0.1567091087169441,6.7,0.8804347826086956,0.9684896776530242,0.0200501253132831,WSW,0.391304347826087,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,Very Cold,5,1,0,0,Night,Urban,Other
3,2016-02-09 06:06:45,39.978306,-82.852554,0.01,2016-02-09 05:51:00,0.2066601371204701,15.5,0.8695652173913044,0.9648678015211878,0.0100250626566415,SW,0.248447204968944,0.02,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day,Very Cold,6,1,0,1,Night,Urban,Other
3,2016-02-09 06:13:33,39.84182,-84.18960600000003,0.01,2016-02-09 06:03:00,0.1870714985308521,10.1,0.8695652173913044,0.9652299891343714,0.0225563909774435,West,0.4285714285714286,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,Very Cold,6,1,0,1,Night,Urban,Other
3,2016-02-09 06:12:49,39.953625,-82.958954,0.01,2016-02-09 05:51:00,0.2066601371204701,15.5,0.8695652173913044,0.9648678015211878,0.0100250626566415,SW,0.248447204968944,0.02,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,Very Cold,6,1,0,1,Night,Urban,Other
2,2016-02-09 06:21:50,40.053082,-83.049644,0.01,2016-02-09 06:22:00,0.21743388834476,15.0,0.826086956521739,0.9641434262948204,0.0225563909774435,West,0.3571428571428571,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,Very Cold,6,1,0,1,Night,Urban,Other
3,2016-02-09 06:20:46,39.936874,-82.878723,0.01,2016-02-09 06:36:00,0.2047012732615083,16.1,0.8478260869565217,0.9645056139080042,0.0100250626566415,SW,0.2142857142857143,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,Very Cold,6,1,0,1,Night,Urban,Other
2,2016-02-09 06:34:41,39.780643,-84.16349,0.01,2016-02-09 06:51:00,0.1870714985308521,11.7,0.8478260869565217,0.9659543643607388,0.0476190476190475,SW,0.3198757763975156,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,Very Cold,6,1,0,1,Night,Urban,Other
3,2016-02-09 06:41:09,39.773193,-84.187454,0.01,2016-02-09 06:51:00,0.1870714985308521,11.7,0.8478260869565217,0.9659543643607388,0.0476190476190475,SW,0.3198757763975156,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,Very Cold,6,1,0,1,Night,Urban,Other
2,2016-02-09 06:48:18,39.77858,-84.20468100000002,0.01,2016-02-09 06:56:00,0.1762977473065622,9.8,0.9130434782608696,0.9670409272002898,0.0225563909774435,WSW,0.3571428571428571,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,Very Cold,6,1,0,1,Night,Urban,Other
2,2016-02-09 06:53:09,39.792988,-84.20607,0.01,2016-02-09 06:56:00,0.1762977473065622,9.8,0.9130434782608696,0.9670409272002898,0.0225563909774435,WSW,0.3571428571428571,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,Very Cold,6,1,0,1,Night,Urban,Other
3,2016-02-09 06:54:31,39.770382,-84.194901,0.01,2016-02-09 06:56:00,0.1762977473065622,9.8,0.9130434782608696,0.9670409272002898,0.0225563909774435,WSW,0.3571428571428571,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,Very Cold,6,1,0,1,Night,Urban,Other
3,2016-02-09 07:03:20,39.976398,-83.119225,0.01,2016-02-09 07:20:00,0.1694417238001959,8.3,0.923913043478261,0.9652299891343714,0.0162907268170425,WSW,0.391304347826087,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,Very Cold,7,1,0,1,Morning,Urban,Other
3,2016-02-09 07:05:37,39.6395,-84.23136099999998,0.01,2016-02-09 07:12:00,0.1674828599412341,10.6,0.8369565217391304,0.9663165519739224,0.0125313283208019,WSW,0.248447204968944,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,Very Cold,7,1,0,1,Morning,Urban,Other
2,2016-02-09 07:04:58,39.232578,-84.159286,0.01,2016-02-09 06:56:00,0.1674828599412341,10.6,0.923913043478261,0.9677653024266568,0.0288220551378445,WSW,0.248447204968944,0.01,Light Snow,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Day,Day,Very Cold,7,1,0,1,Morning,Urban,Other
2,2016-02-09 07:15:41,39.746593,-84.23912,0.01,2016-02-09 07:08:00,0.1762977473065622,9.8,0.9130434782608696,0.9659543643607388,0.0225563909774435,WSW,0.3571428571428571,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day,Very Cold,7,1,0,1,Morning,Urban,Other
2,2016-02-09 07:41:01,39.742783,-84.182472,0.01,2016-02-09 07:58:00,0.1821743388834476,12.4,0.8913043478260869,0.9677653024266568,0.0125313283208019,SW,0.248447204968944,0.0,Light Snow,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,1,0,1,Morning,Urban,Other
2,2016-02-09 07:42:43,39.75452,-84.159279,0.01,2016-02-09 07:58:00,0.1821743388834476,12.4,0.8913043478260869,0.9677653024266568,0.0125313283208019,SW,0.248447204968944,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,1,0,1,Morning,Urban,Other
2,2016-02-09 07:42:11,39.749916,-84.139359,0.01,2016-02-09 07:58:00,0.1821743388834476,12.4,0.8913043478260869,0.9677653024266568,0.0125313283208019,SW,0.248447204968944,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,1,0,1,Morning,Urban,Other
3,2016-02-09 07:46:41,40.100903,-82.98410799999998,0.01,2016-02-09 07:50:00,0.2047012732615083,16.1,0.8478260869565217,0.9648678015211878,0.0200501253132831,West,0.2142857142857143,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,1,0,1,Morning,Urban,Other
2,2016-02-09 07:54:44,39.77280800000001,-84.201851,0.0,2016-02-09 07:54:00,0.1694417238001959,8.9,0.923913043478261,0.9663165519739224,0.0225563909774435,West,0.3571428571428571,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,1,0,1,Morning,Urban,Other
2,2016-02-09 08:06:39,39.492485,-84.131798,0.01,2016-02-09 08:14:00,0.1674828599412341,10.6,0.7934782608695652,0.9666787395871062,0.0125313283208019,WSW,0.248447204968944,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,1,0,1,Morning,Urban,Other
2,2016-02-09 08:12:44,39.570904,-84.251724,0.01,2016-02-09 08:14:00,0.1674828599412341,10.6,0.7934782608695652,0.9666787395871062,0.0125313283208019,WSW,0.248447204968944,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,1,0,1,Morning,Urban,Other
2,2016-02-09 08:10:20,39.834282,-82.74382,0.0,2016-02-09 07:50:00,0.1762977473065622,10.4,0.8369565217391304,0.9666787395871062,0.0075187969924811,SW,0.3198757763975156,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,1,0,1,Morning,Urban,Other
3,2016-02-09 08:23:36,39.622787,-84.229858,0.01,2016-02-09 08:14:00,0.1674828599412341,10.6,0.7934782608695652,0.9666787395871062,0.0125313283208019,WSW,0.248447204968944,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,1,0,1,Morning,Urban,Other
3,2016-02-09 08:24:29,39.429871,-84.079666,0.01,2016-02-09 08:14:00,0.1674828599412341,10.6,0.7934782608695652,0.9666787395871062,0.0125313283208019,WSW,0.248447204968944,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,1,0,1,Morning,Urban,Other
3,2016-02-09 08:20:30,41.407391,-81.64676700000003,0.01,2016-02-09 08:28:00,0.2752203721841332,22.5,0.8043478260869565,0.9623324882289022,0.1228070175438595,WSW,0.3571428571428571,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,1,0,1,Morning,Urban,Other
3,2016-02-09 08:35:53,41.424404,-81.57867399999998,0.01,2016-02-09 08:28:00,0.2752203721841332,22.5,0.8043478260869565,0.9623324882289022,0.1228070175438595,WSW,0.3571428571428571,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,1,0,1,Morning,Urban,Other
3,2016-02-09 10:06:46,39.89217,-83.039169,0.01,2016-02-09 09:50:00,0.1694417238001959,9.5,0.923913043478261,0.9663165519739224,0.0601503759398495,WSW,0.3198757763975156,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,10,1,0,0,Morning,Urban,Other
2,2016-02-09 11:09:37,41.022358,-83.650345,0.01,2016-02-09 11:04:00,0.2262487757100882,13.5,0.7934782608695652,0.9645056139080042,0.0288220551378445,WSW,0.5714285714285716,0.0,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,Very Cold,11,1,0,0,Morning,Urban,Other
2,2016-02-10 06:18:16,39.206806,-84.053253,0.0,2016-02-10 06:16:00,0.1204701273261508,4.7,0.7934782608695652,0.9757334299166968,0.0601503759398495,West,0.248447204968944,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,Very Cold,6,2,0,1,Night,Urban,Other
3,2016-02-10 06:06:00,39.973797,-83.022285,0.01,2016-02-10 06:19:00,0.1165523996082272,2.7,0.7065217391304348,0.9728359290112276,0.0476190476190475,WSW,0.3198757763975156,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,Very Cold,6,2,0,1,Night,Urban,Other
2,2016-02-10 06:24:29,40.048008,-82.86421999999997,0.0,2016-02-10 06:19:00,0.1165523996082272,2.7,0.7065217391304348,0.9728359290112276,0.0476190476190475,WSW,0.3198757763975156,0.0,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,Very Cold,6,2,0,1,Night,Urban,Other
2,2016-02-10 06:53:02,39.814526,-84.021744,0.01,2016-02-10 06:58:00,0.1126346718903036,1.0,0.8043478260869565,0.9757334299166968,0.0852130325814535,SW,0.391304347826087,0.0,Light Snow,False,False,True,False,False,False,True,False,False,False,False,False,False,Night,Night,Day,Day,Very Cold,6,2,0,1,Night,Urban,Other
3,2016-02-10 07:50:52,40.151196,-84.22003199999997,0.01,2016-02-10 07:55:00,0.098922624877571,-1.4,0.923913043478261,0.973560304237595,0.0852130325814535,West,0.4285714285714286,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,2,0,1,Morning,Urban,Other
3,2016-02-10 07:50:08,39.954617,-82.844238,0.01,2016-02-10 07:51:00,0.1096963761018609,4.2,0.75,0.9746468670771458,0.0100250626566415,SW,0.2142857142857143,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,7,2,0,1,Morning,Urban,Other
2,2016-02-10 08:01:30,38.990551,-84.207497,0.01,2016-02-10 07:56:00,0.1165523996082272,6.1,0.8695652173913044,0.9760956175298804,0.0200501253132831,West,0.1770186335403727,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,2,0,1,Morning,Urban,Other
2,2016-02-10 08:08:36,40.008995,-83.002678,0.0,2016-02-10 07:53:00,0.118511263467189,1.7,0.7934782608695652,0.974284679463962,0.0162907268170425,WSW,0.391304347826087,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,Very Cold,8,2,0,1,Morning,Urban,Other
